['﻿title', 'artist', 'top genre', 'year released', 'added', 'bpm', 'nrgy', 'dnce', 'dB', 'live', 'val', 'dur', 'acous', 'spch', 'pop', 'top year', 'artist type']
['STARSTRUKK (feat. Katy Perry)', '3OH!3', 'dance pop', '2009', '2022‑02‑17', '140', '81', '61', '-6', '23', '23', '203', '0', '6', '70', '2010', 'Duo']
['My First Kiss (feat. Ke$ha)', '3OH!3', 'dance pop', '2010', '2022‑02‑17', '138', '89', '68', '-4', '36', '83', '192', '1', '8', '68', '2010', 'Duo']
['I Need A Dollar', 'Aloe Blacc', 'pop soul', '2010', '2022‑02‑17', '95', '48', '84', '-7', '9', '96', '243', '20', '3', '72', '2010', 'Solo']
['Airplanes (feat. Hayley Williams of Paramore)', 'B.o.B', 'atl hip hop', '2010', '2022‑02‑17', '93', '87', '66', '-4', '4', '38', '180', '11', '12', '80', '2010', 'Solo']
["Nothin' on You (feat. Bruno Mars)", 'B.o.B', 'atl hip hop', '2010', '2022‑02‑17', '104', '85', '69', '-6', '9', '74', '268', '39', '5', '79', '2010', 'Solo']
['Magic (feat. Rivers Cuomo)', 'B.o.B', 'atl hip hop', '2010', '2022‑02‑17', '82', '93', '55', '-4', '35', '79', '196', '1', '34', '71', '2010', 'Solo']
['The Time (Dirty Bit)', 'Black Eyed Peas', 'dance pop', '2010', '2022‑02‑17', '128', '81', '82', '-8', '60', '44', '308', '7', '7', '75', '2010', 'Band/Group']
['Imma Be', 'Black Eyed Peas', 'dance pop', '2009', '2022‑02‑17', '92', '52', '60', '-7', '31', '41', '258', '18', '37', '71', '2010', 'Band/Group']
['Talking to the Moon', 'Bruno Mars', 'dance pop', '2010', '2022‑02‑17', '146', '59', '50', '-5', '11', '8', '218', '51', '3', '87', '2010', 'Solo']
['Just the Way You Are', 'Bruno Mars', 'dance pop', '2010', '2022‑02‑17', '109', '84', '64', '-5', '6', '42', '221', '1', '4', '86', '2010', 'Solo']
