,artist,top genre,year released,bpm,top year,artist type
0,3OH!3,dance pop,2009.0,140.0,2010.0,Duo
1,3OH!3,dance pop,2010.0,138.0,2010.0,Duo
2,Aloe Blacc,pop soul,2010.0,95.0,2010.0,Solo
3,B.o.B,atl hip hop,2010.0,93.0,2010.0,Solo
4,B.o.B,atl hip hop,2010.0,104.0,2010.0,Solo
5,B.o.B,atl hip hop,2010.0,82.0,2010.0,Solo
6,Black Eyed Peas,dance pop,2010.0,128.0,2010.0,Band/Group
7,Black Eyed Peas,dance pop,2009.0,92.0,2010.0,Band/Group
8,Bruno Mars,dance pop,2010.0,146.0,2010.0,Solo
9,Bruno Mars,dance pop,2010.0,109.0,2010.0,Solo
10,Cali Swag District,pop rap,2011.0,85.0,2010.0,Band/Group
11,CeeLo Green,atl hip hop,2010.0,127.0,2010.0,Solo
12,Chris Brown,dance pop,2011.0,74.0,2010.0,Solo
13,David Guetta,big room,2009.0,130.0,2010.0,Solo
14,David Guetta,big room,2009.0,130.0,2010.0,Solo
15,DJ Khaled,dance pop,2010.0,150.0,2010.0,Solo
16,Drake,canadian hip hop,2010.0,100.0,2010.0,Solo
17,Drake,canadian hip hop,2010.0,96.0,2010.0,Solo
18,Duck Sauce,disco house,2010.0,128.0,2010.0,Duo
19,Edward Maya,romanian house,2010.0,127.0,2010.0,Solo
20,Eliza Doolittle,lilith,2010.0,133.0,2010.0,Solo
21,Ellie Goulding,dance pop,2010.0,150.0,2010.0,Solo
22,Eminem,detroit hip hop,2010.0,87.0,2010.0,Solo
23,Eminem,detroit hip hop,2010.0,115.0,2010.0,Solo
24,Enrique Iglesias,dance pop,2010.0,129.0,2010.0,Solo
25,Example,dance pop,2010.0,126.0,2010.0,Solo
26,Far East Movement,asian american hip hop,2010.0,125.0,2010.0,Band/Group
27,Flo Rida,dance pop,2010.0,128.0,2010.0,Solo
28,INNA,dance pop,2010.0,128.0,2010.0,Solo
29,Iyaz,dance pop,2009.0,91.0,2010.0,Solo
30,Jason Derulo,dance pop,2010.0,144.0,2010.0,Solo
31,Jason Derulo,dance pop,2010.0,89.0,2010.0,Solo
32,Jason Derulo,dance pop,2010.0,110.0,2010.0,Solo
33,Jay Sean,dance pop,2009.0,132.0,2010.0,Solo
34,Jay Sean,dance pop,2009.0,126.0,2010.0,Solo
35,JAY-Z,east coast hip hop,2009.0,140.0,2010.0,Solo
36,John Mayer,neo mellow,2009.0,97.0,2010.0,Solo
37,John Mayer,neo mellow,2009.0,115.0,2010.0,Solo
38,Justin Bieber,canadian pop,2010.0,65.0,2010.0,Solo
39,Katy Perry,dance pop,2012.0,125.0,2010.0,Solo
40,Katy Perry,dance pop,2010.0,120.0,2010.0,Solo
41,Kelly Rowland,atl hip hop,2011.0,125.0,2010.0,Solo
42,Kesha,dance pop,2010.0,120.0,2010.0,Solo
43,Kesha,dance pop,2010.0,120.0,2010.0,Solo
44,Kesha,dance pop,2010.0,125.0,2010.0,Solo
45,Kesha,dance pop,2010.0,120.0,2010.0,Solo
46,K'NAAN,reggae fusion,2009.0,76.0,2010.0,Solo
47,Kris Allen,idol,2009.0,92.0,2010.0,Solo
48,Lady Gaga,art pop,2009.0,119.0,2010.0,Solo
49,Lady Gaga,art pop,2009.0,122.0,2010.0,Solo
50,Lady Gaga,art pop,2009.0,99.0,2010.0,Solo
51,Lil Wayne,hip hop,2010.0,76.0,2010.0,Solo
52,Ludacris,atl hip hop,2010.0,85.0,2010.0,Solo
53,Ludacris,atl hip hop,2010.0,144.0,2010.0,Solo
54,Maroon 5,pop,2010.0,103.0,2010.0,Band/Group
55,Matt Cardle,talent show,2011.0,82.0,2010.0,Solo
56,Mike Posner,dance pop,2010.0,130.0,2010.0,Solo
57,Miley Cyrus,dance pop,2010.0,117.0,2010.0,Solo
58,Neon Trees,modern alternative rock,2010.0,148.0,2010.0,Band/Group
59,Owl City,indietronica,2009.0,180.0,2010.0,Band/Group
60,Plan B,grime,2010.0,147.0,2010.0,Duo
61,Rihanna,barbadian pop,2010.0,126.0,2010.0,Solo
62,Rihanna,barbadian pop,2009.0,174.0,2010.0,Solo
63,Rihanna,barbadian pop,2010.0,100.0,2010.0,Solo
64,Rihanna,barbadian pop,2010.0,156.0,2010.0,Solo
